category1,category2,key,subweapon,special,mainweapon,reskin,splatnet,[de-DE],[en-GB],[en-US],[es-ES],[es-MX],[fr-CA],[fr-FR],[it-IT],[ja-JP],[nl-NL],[ru-RU],[zh-CN],[zh-TW],main_power_up
shooter,shooter,52gal,pointsensor,sphere,52gal,52gal,50,.52 Gallon,.52 Gal,.52 Gal,Salpicadora 2000,Salpicadora 2000,Calibre 2000,Calibre 2000,Calibro 2000,.52ガロン,.52 Kaliter,Струевик .52,.52 Gal,.52 Gal,shot_accuracy
shooter,shooter,52gal_becchu,splashshield,nicedama,52gal,52gal_becchu,52,Kensa-.52-Gallon,Kensa .52 Gal,Kensa .52 Gal,Salpicadora 2000 elegante,Salpicadora 2000 Tonken,Calibre 2000 Thony K,Calibre 2000 K,Calibro 2000 Nero Marlin,.52ガロンベッチュー,Toni Kensa .52 Kaliter,Струевик .52 от С. Кусаки,Kensa .52 Gal,Kensa .52 Gal,shot_accuracy
shooter,shooter,52gal_deco,curlingbomb,presser,52gal,52gal_deco,51,.52 Gallon Deko,.52 Gal Deco,.52 Gal Deco,Salpicadora 2000 DX,Salpicadora 2000 chic,Calibre 2000 chic,Calibre 2000 chic,Calibro 2000 DX,.52ガロンデコ,.52 Kaliter Deco,Струевик .52 «Деко»,.52 Gal Deco,.52 Gal Deco,shot_accuracy
shooter,shooter,96gal,sprinkler,armor,96gal,96gal,80,.96 Gallon,.96 Gal,.96 Gal,Salpicadora 3000,Salpicadora 3000,Calibre 3000,Calibre 3000,Calibro 3000,.96ガロン,.96 Kaliter,Струевик .96,.96 Gal,.96 Gal,damage
shooter,shooter,96gal_deco,splashshield,chakuchi,96gal,96gal_deco,81,.96 Gallon Deko,.96 Gal Deco,.96 Gal Deco,Salpicadora 3000 DX,Salpicadora 3000 chic,Calibre 3000 chic,Calibre 3000 chic,Calibro 3000 DX,.96ガロンデコ,.96 Kaliter Deco,Струевик .96 «Деко»,.96 Gal Deco,.96 Gal Deco,damage
charger,charger,bamboo14mk1,curlingbomb,missile,bamboo14mk1,bamboo14mk1,2050,Klotzer 14-A,Bamboozler 14 Mk I,Bamboozler 14 Mk I,Bambufusil 14-I,Bamzuka 14-I,Bimbamboum Mk I,Bimbamboum Mk I,Bimbamboom 14-I,14式竹筒銃・甲,Bamboem 14-A,Бамбух 14-I,Bamboozler 14 Mk I,Bamboozler 14 Mk I,damage
charger,charger,bamboo14mk2,poisonmist,quickbomb_pitcher,bamboo14mk1,bamboo14mk2,2051,Klotzer 14-B,Bamboozler 14 Mk II,Bamboozler 14 Mk II,Bambufusil 14-II,Bamzuka 14-II,Bimbamboum Mk II,Bimbamboum Mk II,Bimbamboom 14-II,14式竹筒銃・乙,Bamboem 14-B,Бамбух 14-II,Bamboozler 14 Mk II,Bamboozler 14 Mk II,damage
charger,charger,bamboo14mk3,tansanbomb,bubble,bamboo14mk1,bamboo14mk3,2052,Klotzer 14-C,Bamboozler 14 Mk III,Bamboozler 14 Mk III,Bambufusil 14-III,Bamzuka 14-III,Bimbamboum Mk III,Bimbamboum Mk III,Bimbamboom 14-III,14式竹筒銃・丙,Bamboem 14-C,Бамбух 14-III,Bamboozler 14 Mk III,Bamboozler 14 Mk III,damage
splatling,splatling,barrelspinner,sprinkler,presser,barrelspinner,barrelspinner,4010,Splatling,Heavy Splatling,Heavy Splatling,Tintralladora,Garabateador Pro,Badigeonneur,Badigeonneur,Splatling a tanica,バレルスピナー,Spetling,Брызгомет XL,Heavy Splatling,Heavy Splatling,duration_of_firing
splatling,splatling,barrelspinner_deco,splashshield,bubble,barrelspinner,barrelspinner_deco,4011,Splatling Deko,Heavy Splatling Deco,Heavy Splatling Deco,Tintralladora DX,Garabateador Pro chic,Badigeonneur chic,Badigeonneur chic,Splatling a tanica DX,バレルスピナーデコ,Spetling Deco,Брызгомет XL «Деко»,Heavy Splatling Deco,Heavy Splatling Deco,duration_of_firing
splatling,splatling,barrelspinner_remix,pointsensor,nicedama,barrelspinner,barrelspinner_remix,4012,Splatling Ultrabass,Heavy Splatling Remix,Heavy Splatling Remix,Tintralladora tecno,Garabateador Pro festivo,Badigeonneur Disco,Badigeonneur Disco,Splatling a tanica techno,バレルスピナーリミックス,Spetling Remix,Брызгомет XL «Ремикс»,Heavy Splatling Remix,Heavy Splatling Remix,duration_of_firing
shooter,shooter,bold,curlingbomb,chakuchi,bold,bold,0,Disperser,Sploosh-o-matic,Sploosh-o-matic,Marcador,Marcador grueso,Marqueur lourd,Marqueur lourd,Marker,ボールドマーカー,Spettertuit,Плюхотрон,Sploosh-o-matic,Sploosh-o-matic,damage
shooter,shooter,bold_7,splashbomb,ultrahanko,bold,bold_7,2,Disperser 7,Sploosh-o-matic 7,Sploosh-o-matic 7,Marcador versátil,Marcador grueso 7,Marqueur lourd 7,Marqueur lourd 7,Marker multi,ボールドマーカー7,Spettertuit 7,Плюхотрон-7,Sploosh-o-matic 7,Sploosh-o-matic 7,damage
shooter,shooter,bold_neo,jumpbeacon,missile,bold,bold_neo,1,Disperser Neo,Neo Sploosh-o-matic,Neo Sploosh-o-matic,Marcador neo,Marcador grueso neo,Marqueur lourd néo,Marqueur lourd Néo,Marker Neo,ボールドマーカーネオ,Spettertuit Neo,Плюхотрон «Нео»,Neo Sploosh-o-matic,Neo Sploosh-o-matic,damage
shooter,shooter,bottlegeyser,splashshield,presser,bottlegeyser,bottlegeyser,400,Quetscher,Squeezer,Squeezer,Tintopresor,Tintopresor,Compresseur,Compresseur,Strizzer,ボトルガイザー,Floeper,Бутылятор,Squeezer,Squeezer,damage
shooter,shooter,bottlegeyser_foil,splashbomb,bubble,bottlegeyser,bottlegeyser_foil,401,Quetscher Fol,Foil Squeezer,Foil Squeezer,Tintopresor B,Tintopresor Foil,Compresseur aluminium,Compresseur alu,Strizzer B,ボトルガイザーフォイル,Foil Floeper,Бутылятор «Блеск»,Foil Squeezer,Foil Squeezer,damage
slosher,slosher,bucketslosher,kyubanbomb,missile,bucketslosher,bucketslosher,3000,Schwapper,Slosher,Slosher,Derramatic,Derramatic,Seauceur,Seauceur,Secchiostro,バケットスロッシャー,Morser,Ведроган,Slosher,Slosher,damage_from_higher_grounds
slosher,slosher,bucketslosher_deco,sprinkler,sphere,bucketslosher,bucketslosher_deco,3001,Schwapper Deko,Slosher Deco,Slosher Deco,Derramatic DX,Derramatic chic,Seauceur chic,Seauceur chic,Secchiostro DX,バケットスロッシャーデコ,Morser Deco,Ведроган «Деко»,Slosher Deco,Slosher Deco,damage_from_higher_grounds
slosher,slosher,bucketslosher_soda,splashbomb,quickbomb_pitcher,bucketslosher,bucketslosher_soda,3002,Sprudel-Schwapper,Soda Slosher,Soda Slosher,Derramatic centella,Derramatic burbujeante,Seauceur pétillant,Seauceur Diabolo,Secchiostro frizzante,バケットスロッシャーソーダ,Bruismorser,Ведроган «Содовый»,Soda Slosher,Soda Slosher,damage_from_higher_grounds
brella,brella,campingshelter,jumpbeacon,bubble,campingshelter,campingshelter,6010,Camp-Pluviator,Tenta Brella,Tenta Brella,Paratintas maxi,Paratintas forestal,Méga para-encre,Para-encre XL,Sparatenda,キャンピングシェルター,Kampeerplenzer,Зонтент,Tenta Brella,Tenta Brella,canopy_durability
brella,brella,campingshelter_camo,trap,ultrahanko,campingshelter,campingshelter_camo,6012,Camp-Pluviator Camo,Tenta Camo Brella,Tenta Camo Brella,Paratintas maxi camuflaje,Paratintas forestal camuflaje,Para-encre XL camo,Para-encre XL treillis,Sparatenda mimetico,キャンピングシェルターカーモ,Kampeerplenzer Camo,Зонтент «Спецназ»,Tenta Camo Brella,Tenta Camo Brella,canopy_durability
brella,brella,campingshelter_sorella,splashshield,curlingbomb_pitcher,campingshelter,campingshelter_sorella,6011,Sorella-Camp-Pluviator,Tenta Sorella Brella,Tenta Sorella Brella,Paratintas maxi B,Paratintas forestal Sorella,Méga para-encre Sorella,Para-encre XL Sorella,Sparatenda Solerra,キャンピングシェルターソレーラ,Sorella Kampeerplenzer,Зонтент «Родиччи»,Tenta Sorella Brella,Tenta Sorella Brella,canopy_durability
roller,roller,carbon,robotbomb,amefurashi,carbon,carbon,1000,Karbonroller,Carbon Roller,Carbon Roller,Rodillo de carbono,Rodillo de carbono,Rouleau carbone,Rouleau carbone,Rullo di carbonio,カーボンローラー,Carbonroller,Валик ЛАЙТ,Carbon Roller,Carbon Roller,damage
roller,roller,carbon_deco,quickbomb,robotbomb_pitcher,carbon,carbon_deco,1001,Karbonroller Deko,Carbon Roller Deco,Carbon Roller Deco,Rodillo de carbono DX,Rodillo de carbono chic,Rouleau carbone chic,Rouleau carbone chic,Rullo di carbonio DX,カーボンローラーデコ,Carbonroller Deco,Валик ЛАЙТ «Деко»,Carbon Roller Deco,Carbon Roller Deco,damage
shooter,blaster,clashblaster,splashbomb,presser,clashblaster,clashblaster,230,Kontra-Blaster,Clash Blaster,Clash Blaster,Turbodevastador,Hiperlanzamotas,Rafalblasteur,Rafablaster,Blaster da mischia,クラッシュブラスター,Knalblaster,Контрабластер,Clash Blaster,Clash Blaster,shot_accuracy
shooter,blaster,clashblaster_neo,curlingbomb,missile,clashblaster,clashblaster_neo,231,Kontra-Blaster Neo,Clash Blaster Neo,Clash Blaster Neo,Turbodevastador neo,Hiperlanzamotas neo,Rafalblasteur néo,Rafablaster Néo,Blaster da mischia Neo,クラッシュブラスターネオ,Knalblaster Neo,Контрабластер «Нео»,Clash Blaster Neo,Clash Blaster Neo,shot_accuracy
shooter,maneuver,dualsweeper,pointsensor,missile,dualsweeper,dualsweeper,5030,Dual-Platscher,Dualie Squelchers,Dualie Squelchers,Barredora dual,Soplador dual,Double nettoyeur,Double nettoyeur,Sweeper duplo,デュアルスイーパー,Dubbelplonzers,Спурт-плескари,Dualie Squelchers,Dualie Squelchers,damage
shooter,maneuver,dualsweeper_custom,splashbomb,amefurashi,dualsweeper,dualsweeper_custom,5031,Dual-Platscher SE,Custom Dualie Squelchers,Custom Dualie Squelchers,Barredora dual SP,Soplador dual adaptado,Double nettoyeur modifié,Double nettoyeur modifié,Sweeper duplo CM,デュアルスイーパーカスタム,Gemodde Dubbelplonzers,Спурт-плескари «Понт»,Custom Dualie Squelchers,Custom Dualie Squelchers,damage
roller,roller,dynamo,trap,presser,dynamo,dynamo,1020,Dynaroller,Dynamo Roller,Dynamo Roller,Dinamorrodillo,Rodillo Pro,Dynamo-rouleau,Dynamo-rouleau,Rullo dinamo,ダイナモローラー,Dynamoroller,Мотовалик,Dynamo Roller,Dynamo Roller,damage
roller,roller,dynamo_becchu,sprinkler,nicedama,dynamo,dynamo_becchu,1022,Kensa-Dynaroller,Kensa Dynamo Roller,Kensa Dynamo Roller,Dinamorrodillo elegante,Rodillo Pro Tonken,Dynamo-rouleau Thony K,Dynamo-rouleau K,Rullo dinamo Nero Marlin,ダイナモローラーベッチュー,Toni Kensa Dynamoroller,Мотовалик от С. Кусаки,Kensa Dynamo Roller,Kensa Dynamo Roller,damage
roller,roller,dynamo_tesla,splashbomb,armor,dynamo,dynamo_tesla,1021,Dynaroller Tesla,Gold Dynamo Roller,Gold Dynamo Roller,Dinamorrodillo T,Rodillo Pro dorado,Dynamo-rouleau pro,Dynamo-rouleau tesla,Rullo dinamo dorato,ダイナモローラーテスラ,Gouden Dynamoroller,Мотовалик VIP,Gold Dynamo Roller,Gold Dynamo Roller,damage
slosher,slosher,explosher,sprinkler,bubble,explosher,explosher,3040,Knall-Schwapper,Explosher,Explosher,Derramatic turbo,Derramatic XP,Détoneur,Détoneur,Termosecchiostro,エクスプロッシャー,Kliederkachel,Шпарган,Explosher,Explosher,ink_coverage
slosher,slosher,explosher_custom,pointsensor,sphere,explosher,explosher_custom,3041,Knall-Schwapper SE,Custom Explosher,Custom Explosher,Derramatic turbo SP,Derramatic XP adaptado,Détoneur modifié,Détoneur modifié,Termosecchiostro master,エクスプロッシャーカスタム,Gemodde Kliederkachel,Шпарган «Понт»,Custom Explosher,Custom Explosher,ink_coverage
slosher,slosher,furo,splashshield,amefurashi,furo,furo,3030,Wannen-Schwapper,Bloblobber,Bloblobber,Derramatic baño,Derramatic baño,Bassineur,Bassineur,Secchiostro vasca,オーバーフロッシャー,Spatkuip,Ваннаган,Bloblobber,Bloblobber,ink_coverage
slosher,slosher,furo_deco,sprinkler,kyubanbomb_pitcher,furo,furo_deco,3031,Wannen-Schwapper Deko,Bloblobber Deco,Bloblobber Deco,Derramatic baño DX,Derramatic baño chic,Bassineur chic,Bassineur chic,Secchiostro vasca DX,オーバーフロッシャーデコ,Spatkuip Deco,Ваннаган «Деко»,Bloblobber Deco,Bloblobber Deco,ink_coverage
shooter,reelgun,h3reelgun,pointsensor,missile,h3reelgun,h3reelgun,310,S3 Tintenwerfer,H-3 Nozzlenose,H-3 Nozzlenose,Tintambor pesado,Manguera pesada,Arroseur lourd,Arroseur lourd,Triplete,H3リールガン,H-3 Langsnuit,Тяжелый каплетрон,H-3 Nozzlenose,H-3 Nozzlenose,damage
shooter,reelgun,h3reelgun_cherry,splashshield,bubble,h3reelgun,h3reelgun_cherry,312,S3 Tintenwerfer Kirsch,Cherry H-3 Nozzlenose,Cherry H-3 Nozzlenose,Tintambor pesado cereza,Manguera pesada cereza,Arroseur lourd cerise,Arroseur lourd Cerise,Triplete ciliegia,H3リールガンチェリー,H-3 Langsnuit Kers,Т-каплетрон «Вишня»,Cherry H-3 Nozzlenose,Cherry H-3 Nozzlenose,damage
shooter,reelgun,h3reelgun_d,kyubanbomb,armor,h3reelgun,h3reelgun_d,311,S3 Tintenwerfer D,H-3 Nozzlenose D,H-3 Nozzlenose D,Tintambor pesado D,Manguera pesada D,Arroseur lourd requin,Arroseur lourd Cétacé,Triplete D,H3リールガンD,H-3 Langsnuit D,Тяжелый каплетрон 2.0,H-3 Nozzlenose D,H-3 Nozzlenose D,damage
shooter,blaster,heroblaster_replica,poisonmist,chakuchi,hotblaster,hotblaster,215,Helden-Blaster Replik,Hero Blaster Replica,Hero Blaster Replica,Devastador de élite (réplica),Lanzamotas de élite réplica,Hero Blaster Replica,Hero Blaster Replica,Blaster élite replica,ヒーローブラスター レプリカ,Heldenblaster (replica),Бластер-004 (клон),Hero Blaster Replica,Hero Blaster Replica,shot_accuracy
roller,brush,herobrush_replica,robotbomb,jetpack,hokusai,hokusai,1115,Helden-Pinsel Replik,Herobrush Replica,Herobrush Replica,Brocha de élite (réplica),Pincel caligrafía de élite réplica,Herobrush Replica,Herobrush Replica,Pennello élite replica,ヒーローブラシ レプリカ,Heldenkwast (replica),Кисть-004 (клон),Herobrush Replica,Herobrush Replica,movement_speed
charger,charger,herocharger_replica,splashbomb,presser,splatcharger,splatcharger,2015,Helden-Konzentrator Replik,Hero Charger Replica,Hero Charger Replica,Cargatintas de élite (réplica),Cargatintas de élite réplica,Conc. héroïque (rép.),Conc. héroïque (réplique),Splatter élite replica,ヒーローチャージャー レプリカ,Heldenlader (replica),Сплатган-004 (клон),Hero Charger Replica,Hero Charger Replica,damage
shooter,maneuver,heromaneuver_replica,quickbomb,missile,maneuver,maneuver,5015,Helden-Doubler Replik,Hero Dualie Replicas,Hero Dualie Replicas,Difusor dual de élite (réplica),Difusor dual de élite réplica,Hero Dualie Replicas,Hero Dualie Replicas,Repolper duplo élite replica,ヒーローマニューバー レプリカ,Heldenknallers (replica),Спуртометы-004 (клон),Hero Dualie Replicas,Hero Dualie Replicas,damage
roller,roller,heroroller_replica,curlingbomb,chakuchi,splatroller,splatroller,1015,Helden-Roller Replik,Hero Roller Replica,Hero Roller Replica,Rodillo de élite (réplica),Rodillo de élite réplica,Rouleau héroïque (rép.),Rouleau héroïque (réplique),Rullo élite replica,ヒーローローラー レプリカ,Heldenroller (replica),Валик-004 (клон),Hero Roller Replica,Hero Roller Replica,damage
brella,brella,heroshelter_replica,sprinkler,amefurashi,parashelter,parashelter,6005,Helden-Pluviator Replik,Hero Brella Replica,Hero Brella Replica,Paratintas de élite (réplica),Paratintas de élite réplica,Hero Brella Replica,Hero Brella Replica,Sparasole élite replica,ヒーローシェルター レプリカ,Heldenplenzer (replica),Зонтган-004 (клон),Hero Brella Replica,Hero Brella Replica,speed_up_canopy_regeneration
shooter,shooter,heroshooter_replica,quickbomb,chakuchi,sshooter,sshooter,45,Heldenwaffe Replik,Hero Shot Replica,Hero Shot Replica,Pistola de Élite (réplica),Rociador de élite réplica,Liquéfi. héroïque (rép.),Lanceur héroïque (réplique),Pistola élite replica,ヒーローシューター レプリカ,Heldenspetter (replica),Каплестрел-004 (клон),Hero Shot Replica,Hero Shot Replica,shot_accuracy
slosher,slosher,heroslosher_replica,kyubanbomb,missile,bucketslosher,bucketslosher,3005,Helden-Schwapper Replik,Hero Slosher Replica,Hero Slosher Replica,Derramatic de élite (réplica),Derramatic de élite réplica,Hero Slosher Replica,Hero Slosher Replica,Secchiostro élite replica,ヒーロースロッシャー レプリカ,Heldenmorser (replica),Ведроган-004 (клон),Hero Slosher Replica,Hero Slosher Replica,damage_from_higher_grounds
splatling,splatling,herospinner_replica,sprinkler,presser,barrelspinner,barrelspinner,4015,Helden-Splatling Replik,Hero Splatling Replica,Hero Splatling Replica,Tintralladora de élite (réplica),Garabateador de élite réplica,Hero Splatling Replica,Hero Splatling Replica,Splatling élite replica,ヒーロースピナー レプリカ,Helden-Spetling (replica),Брызгомет-004 (клон),Hero Splatling Replica,Hero Splatling Replica,duration_of_firing
slosher,slosher,hissen,quickbomb,armor,hissen,hissen,3010,3R-Schwapper,Tri-Slosher,Tri-Slosher,Derramatic triple,Derramatic triple,Seauceur trio,Dépoteur,Secchiostro triplo,ヒッセン,Triomorser,Ведроган 3 в 1,Tri-Slosher,Tri-Slosher,ink_coverage
slosher,slosher,hissen_hue,splashbomb,amefurashi,hissen,hissen_hue,3011,3R-Schwapper Fresco,Tri-Slosher Nouveau,Tri-Slosher Nouveau,Derramatic triple maestro,Derramatic triple maestro,Seauceur nuancé,Dépoteur nuancé,Secchiostro triplo master,ヒッセン・ヒュー,Triomorser Nouveau,Ведроган 3 в 1 «НуВо»,Tri-Slosher Nouveau,Tri-Slosher Nouveau,ink_coverage
roller,brush,hokusai,robotbomb,jetpack,hokusai,hokusai,1110,Kalligraf,Octobrush,Octobrush,Brocha,Pincel caligrafía,Épinceau brosse,Épinceau brosse,Tinturicchio,ホクサイ,Octokwast,Арт-кисть,Octobrush,Octobrush,movement_speed
roller,brush,hokusai_becchu,kyubanbomb,ultrahanko,hokusai,hokusai_becchu,1112,Kensa-Kalligraf,Kensa Octobrush,Kensa Octobrush,Brocha elegante,Pincel caligrafía Tonken,Épinceau Thony K,Épinceau K,Tinturicchio Nero Marlin,ホクサイベッチュー,Toni Kensa Octokwast,Арт-кисть от С. Кусаки,Kensa Octobrush,Kensa Octobrush,movement_speed
roller,brush,hokusai_hue,jumpbeacon,missile,hokusai,hokusai_hue,1111,Kalligraf Fresco,Octobrush Nouveau,Octobrush Nouveau,Brocha maestra,Pincel caligrafía maestro,Épinceau brosse nuancé,Épinceau brosse nuancé,Tinturicchio master,ホクサイ・ヒュー,Octokwast Nouveau,Арт-кисть «НуВо»,Octobrush Nouveau,Octobrush Nouveau,movement_speed
shooter,blaster,hotblaster,poisonmist,chakuchi,hotblaster,hotblaster,210,Blaster,Blaster,Blaster,Devastador,Lanzamotas,Éclablasteur,Éclablaster,Blaster,ホットブラスター,Klodderblaster,Бластер,Blaster,Blaster,shot_accuracy
shooter,blaster,hotblaster_custom,robotbomb,jetpack,hotblaster,hotblaster_custom,211,Blaster SE,Custom Blaster,Custom Blaster,Devastador SP,Lanzamotas adaptado,Éclablasteur modifié,Éclablaster modifié,Blaster CM,ホットブラスターカスタム,Gemodde Klodderblaster,Бластер «Понт»,Custom Blaster,Custom Blaster,shot_accuracy
splatling,splatling,hydra,robotbomb,chakuchi,hydra,hydra,4020,Hydrant,Hydra Splatling,Hydra Splatling,Extintador,Garabateador HD,Exteinteur,Exteinteur,Idrante,ハイドラント,Blusling,Брызгомет «Горыныч»,Hydra Splatling,Hydra Splatling,damage
splatling,splatling,hydra_custom,trap,armor,hydra,hydra_custom,4021,Hydrant SE,Custom Hydra Splatling,Custom Hydra Splatling,Extintador SP,Garabateador HD adaptado,Exteinteur modifié,Exteinteur modifié,Idrante CM,ハイドラントカスタム,Gemodde Blusling,«Понт-Горыныч»,Custom Hydra Splatling,Custom Hydra Splatling,damage
shooter,shooter,jetsweeper,poisonmist,missile,jetsweeper,jetsweeper,90,Platscher,Jet Squelcher,Jet Squelcher,Megabarredora,Megasoplador,Méganettoyeur,Nettoyeur XL,Sweeper,ジェットスイーパー,Straalplonzer,Плескарь,Jet Squelcher,Jet Squelcher,bullet_velocity
shooter,shooter,jetsweeper_custom,quickbomb,presser,jetsweeper,jetsweeper_custom,91,Platscher SE,Custom Jet Squelcher,Custom Jet Squelcher,Megabarredora SP,Megasoplador adaptado,Méganettoyeur modifié,Nettoyeur XL modifié,Sweeper CM,ジェットスイーパーカスタム,Gemodde Straalplonzer,Плескарь «Понт»,Custom Jet Squelcher,Custom Jet Squelcher,bullet_velocity
shooter,maneuver,kelvin525,trap,jetpack,kelvin525,kelvin525,5020,Kelvin 525,Glooga Dualies,Glooga Dualies,Fundidora 525 dual,Fundidora 525 dual,Double Kelvin 525,Double Kelvin 525,Kelvin duplo 525,ケルビン525,Kelvin 525,Термоплюхи 525,Glooga Dualies,Glooga Dualies,damage
shooter,maneuver,kelvin525_becchu,tansanbomb,armor,kelvin525,kelvin525_becchu,5022,Kensa-Kelvin-525,Kensa Glooga Dualies,Kensa Glooga Dualies,Fundidora 525 dual elegante,Fundidora 525 dual Tonken,Double Kelvin 525 Thony K,Double Kelvin 525 K,Kelvin duplo 525 Nero Marlin,ケルビン525ベッチュー,Toni Kensa Kelvin 525,Термоплюхи 525 от С. К.,Kensa Glooga Dualies,Kensa Glooga Dualies,damage
shooter,maneuver,kelvin525_deco,splashshield,sphere,kelvin525,kelvin525_deco,5021,Kelvin 525 Deko,Glooga Dualies Deco,Glooga Dualies Deco,Fundidora 525 dual DX,Fundidora 525 dual chic,Double Kelvin 525 chic,Double Kelvin 525 chic,Kelvin duplo 525 DX,ケルビン525デコ,Kelvin 525 Deco,Термоплюхи 525 «Деко»,Glooga Dualies Deco,Glooga Dualies Deco,damage
splatling,splatling,kugelschreiber,poisonmist,jetpack,kugelschreiber,kugelschreiber,4030,Kuli-Splatling,Ballpoint Splatling,Ballpoint Splatling,Ametrallógrafo,Garabateador PLM,Badigeonneur stylo,Badigeonneur stylo,Tetrapenna,クーゲルシュライバー,Stylospetling,Кугельшрайбер,Ballpoint Splatling,Ballpoint Splatling,damage
splatling,splatling,kugelschreiber_hue,jumpbeacon,amefurashi,kugelschreiber,kugelschreiber_hue,4031,Kuli-Splatling Fresco,Ballpoint Splatling Nouveau,Ballpoint Splatling Nouveau,Ametrallógrafo maestro,Garabateador PLM maestro,Badigeonneur stylo nuancé,Badigeonneur stylo nuancé,Tetrapenna master,クーゲルシュライバー・ヒュー,Stylospetling Nouveau,Кугельшрайбер «НуВо»,Ballpoint Splatling Nouveau,Ballpoint Splatling Nouveau,damage
shooter,reelgun,l3reelgun,curlingbomb,sphere,l3reelgun,l3reelgun,300,L3 Tintenwerfer,L-3 Nozzlenose,L-3 Nozzlenose,Tintambor ligero,Manguera ligera,Arroseur léger,Arroseur léger,Triplete compatto,L3リールガン,L-3 Stompsnuit,Каплетрон-компакт,L-3 Nozzlenose,L-3 Nozzlenose,damage
shooter,reelgun,l3reelgun_becchu,splashshield,ultrahanko,l3reelgun,l3reelgun_becchu,302,Kensa-L3-Tintenwerfer,Kensa L-3 Nozzlenose,Kensa L-3 Nozzlenose,Tintambor ligero elegante,Manguera ligera Tonken,Arroseur léger Thony K,Arroseur léger K,Triplete compatto Nero Marlin,L3リールガンベッチュー,Toni Kensa L-3 Stompsnuit,Каплетрон-компакт С.К.,Kensa L-3 Nozzlenose,Kensa L-3 Nozzlenose,damage
shooter,reelgun,l3reelgun_d,quickbomb,jetpack,l3reelgun,l3reelgun_d,301,L3 Tintenwerfer D,L-3 Nozzlenose D,L-3 Nozzlenose D,Tintambor ligero D,Manguera ligera D,Arroseur léger requin,Arroseur léger Cétacé,Triplete compatto D,L3リールガンD,L-3 Stompsnuit D,Каплетрон-компакт 2.0,L-3 Nozzlenose D,L-3 Nozzlenose D,damage
charger,charger,liter4k,trap,amefurashi,liter4k,liter4k,2030,E-liter 4K,E-liter 4K,E-liter 4K,Entintador 4K,Entintador 4K,X-traceur +,Extraceur +,Tinter a carica 4K,リッター4K,E-liter 4K,Э-литр 95,E-liter 4K,E-liter 4K,range
charger,charger,liter4k_custom,jumpbeacon,bubble,liter4k,liter4k_custom,2031,E-liter 4K SE,Custom E-liter 4K,Custom E-liter 4K,Entintador 4K SP,Entintador 4K adaptado,X-traceur + modifié,Extraceur + modifié,Tinter a carica 4K CM,リッター4Kカスタム,Gemodde E-liter 4K,Э-литр 95 «Понт»,Custom E-liter 4K,Custom E-liter 4K,range
charger,charger,liter4k_scope,trap,amefurashi,liter4k,liter4k_scope,2040,Ziel-E-liter 4K,E-liter 4K Scope,E-liter 4K Scope,Telentintador 4K,Telentintador 4K,X-traceur + zoom,Extraceur + zoom,Tinter con mirino 4K,4Kスコープ,E-liter 4K met vizier,Снайп-э-литр 95,E-liter 4K Scope,E-liter 4K Scope,range
