category1,category2,key,subweapon,special,mainweapon,reskin,splatnet,[de-DE],[en-GB],[en-US],[es-ES],[es-MX],[fr-CA],[fr-FR],[it-IT],[ja-JP],[nl-NL],[ru-RU],[zh-CN],[zh-TW],main_power_up
charger,charger,liter4k_scope_custom,jumpbeacon,bubble,liter4k,liter4k_scope_custom,2041,Ziel-E-liter 4K SE,Custom E-liter 4K Scope,Custom E-liter 4K Scope,Telentintador 4K SP,Telentintador 4K adaptado,X-traceur + zoom modifié,Extraceur + zoom modifié,Tinter con mirino 4K CM,4Kスコープカスタム,Gemodde E-liter 4K met vizier,Снайп-э-литр 95 «Понт»,Custom E-liter 4K Scope,Custom E-liter 4K Scope,range
shooter,blaster,longblaster,kyubanbomb,amefurashi,longblaster,longblaster,220,Fern-Blaster,Range Blaster,Range Blaster,Teledevastador,Telelanzamotas,Éclablasteur LP,Éclablaster XL,Blaster a distanza,ロングブラスター,Teleblaster,Дальнобластер,Range Blaster,Range Blaster,shot_accuracy
shooter,blaster,longblaster_custom,curlingbomb,bubble,longblaster,longblaster_custom,221,Fern-Blaster SE,Custom Range Blaster,Custom Range Blaster,Teledevastador SP,Telelanzamotas adaptado,Éclablasteur LP modifié,Éclablaster XL griffé,Blaster a distanza CM,ロングブラスターカスタム,Gemodde Teleblaster,Дальнобластер «Понт»,Custom Range Blaster,Custom Range Blaster,shot_accuracy
shooter,blaster,longblaster_necro,quickbomb,missile,longblaster,longblaster_necro,222,Fern-Blaster Inferno,Grim Range Blaster,Grim Range Blaster,Teledevastador tétrico,Telelanzamotas funesto,Éclablasteur lugubre,Éclablaster Nox,Blaster a distanza dark,ロングブラスターネクロ,Duistere Teleblaster,Дальнобластер «Мрак»,Grim Range Blaster,Grim Range Blaster,shot_accuracy
shooter,maneuver,maneuver,quickbomb,missile,maneuver,maneuver,5010,Klecks-Doppler,Splat Dualies,Splat Dualies,Difusor dual,Difusor dual,Double encreur,Double encreur,Repolper duplo,スプラマニューバー,Dubbelknallers,Спуртометы,Splat Dualies,Splat Dualies,damage
shooter,maneuver,maneuver_becchu,kyubanbomb,sphere,maneuver,maneuver_becchu,5012,Kensa-Klecks-Doppler,Kensa Splat Dualies,Kensa Splat Dualies,Difusor dual elegante,Difusor dual Tonken,Double encreur Thony K,Double encreur K,Repolper duplo Nero Marlin,スプラマニューバーベッチュー,Toni Kensa Dubbelknallers,Спуртометы от С. Кусаки,Kensa Splat Dualies,Kensa Splat Dualies,damage
shooter,maneuver,maneuver_collabo,curlingbomb,jetpack,maneuver,maneuver_collabo,5011,Enperry-Klecks-Doppler,Enperry Splat Dualies,Enperry Splat Dualies,Difusor dual B,Difusor dual Emperi,Double encreur DUX,Double encreur griffé,Repolper duplo logo,スプラマニューバーコラボ,Enperry Dubbelknallers,Спуртометы «К.К.»,Enperry Splat Dualies,Enperry Splat Dualies,damage
shooter,shooter,momiji,robotbomb,amefurashi,wakaba,momiji,11,Junior-Kleckser Plus,Custom Splattershot Jr.,Custom Splattershot Jr.,Lanzatintas novato B,Rociador básico adaptado,Liquéficateur ultra modifié,Liquidateur Sr.,Sparacolore logo,もみじシューター,Gemodde Superspetter jr.,Каплестрел-У 2.0,Custom Splattershot Jr.,Custom Splattershot Jr.,ink_coverage
splatling,splatling,nautilus47,pointsensor,sphere,nautilus47,nautilus47,4040,Nautilus 47,Nautilus 47,Nautilus 47,Subtralladora 47,Nautilo 47,Nautilus 47,Nautilus 47,Nautilus 47,ノーチラス47,Nautilus 47,Наутилус-47,Nautilus 47,Nautilus 47,duration_of_firing
splatling,splatling,nautilus79,kyubanbomb,jetpack,nautilus47,nautilus79,4041,Nautilus 79,Nautilus 79,Nautilus 79,Subtralladora 79,Nautilo 79,Nautilus 79,Nautilus 79,Nautilus 79,ノーチラス79,Nautilus 79,Наутилус-79,Nautilus 79,Nautilus 79,duration_of_firing
shooter,blaster,nova,splashbomb,sphere,nova,nova,200,Luna-Blaster,Luna Blaster,Luna Blaster,Ultradevastador,Lanzamotas Nova,Proxiblasteur,Proxiblaster,Blaster lunar,ノヴァブラスター,Lunablaster,Лунобластер,Luna Blaster,Luna Blaster,high_damage_radius_of_explosions
shooter,blaster,nova_becchu,tansanbomb,amefurashi,nova,nova_becchu,202,Kensa-Luna-Blaster,Kensa Luna Blaster,Kensa Luna Blaster,Ultradevastador elegante,Lanzamotas Nova Tonken,Proxiblasteur Thony K,Proxiblaster K,Blaster lunar Nero Marlin,ノヴァブラスターベッチュー,Toni Kensa Lunablaster,Лунобластер от С. Кусаки,Kensa Luna Blaster,Kensa Luna Blaster,high_damage_radius_of_explosions
shooter,blaster,nova_neo,trap,kyubanbomb_pitcher,nova,nova_neo,201,Luna-Blaster Neo,Luna Blaster Neo,Luna Blaster Neo,Ultradevastador neo,Lanzamotas Nova neo,Proxiblasteur néo,Proxiblaster Néo,Blaster lunar Neo,ノヴァブラスターネオ,Lunablaster Neo,Лунобластер «Нео»,Luna Blaster Neo,Luna Blaster Neo,high_damage_radius_of_explosions
shooter,shooter,nzap83,sprinkler,amefurashi,nzap85,nzap83,62,N-ZAP83,N-ZAP '83,N-ZAP '83,N-ZAP 83,N-ZAP 83,N-ZAP 83,N-ZAP 83,N-ZAP83,N-ZAP83,N-ZAP '83,N-ZAP 83,N-ZAP '83,N-ZAP '83,ink_coverage
shooter,shooter,nzap85,kyubanbomb,armor,nzap85,nzap85,60,N-ZAP85,N-ZAP '85,N-ZAP '85,N-ZAP 85,N-ZAP 85,N-ZAP 85,N-ZAP 85,N-ZAP85,N-ZAP85,N-ZAP '85,N-ZAP 85,N-ZAP '85,N-ZAP '85,ink_coverage
shooter,shooter,nzap89,robotbomb,missile,nzap85,nzap89,61,N-ZAP89,N-ZAP '89,N-ZAP '89,N-ZAP 89,N-ZAP 89,N-ZAP 89,N-ZAP 89,N-ZAP89,N-ZAP89,N-ZAP '89,N-ZAP 89,N-ZAP '89,N-ZAP '89,ink_coverage
shooter,shooter,ochiba,torpedo,bubble,wakaba,ochiba,12,Kensa-Junior-Kleckser,Kensa Splattershot Jr.,Kensa Splattershot Jr.,Lanzatintas novato elegante,Rociador básico Tonken,Liquéficateur Ultra Thony K,Liquidateur Jr. K,Sparacolore recluta Nero Marlin,おちばシューター,Toni Kensa Superspetter jr.,Каплестрел-У.С.К.,Kensa Splattershot Jr.,Kensa Splattershot Jr.,ink_coverage
shooter,shooter,octoshooter_replica,splashbomb,jetpack,sshooter,sshooter_collabo,46,Octo Shot Replica,Octo Shot Replica,Octo Shot Replica,Pistola octariana (réplica),Pistola octariana réplica,Liquéfi. octarien (rép.),Lanceur Octaling (réplique),Octo Shot Replica,オクタシューター レプリカ,Octo Shot Replica,Octo Shot Replica,Octo Shot Replica,Octo Shot Replica,shot_accuracy
roller,brush,pablo,splashbomb,chakuchi,pablo,pablo,1100,Quasto,Inkbrush,Inkbrush,Pincel,Pincel,Épinceau,Épinceau,Calamaravaggio,パブロ,Inktkwast,Кисть,Inkbrush,Inkbrush,movement_speed
roller,brush,pablo_hue,trap,sphere,pablo,pablo_hue,1101,Quasto Fresco,Inkbrush Nouveau,Inkbrush Nouveau,Pincel maestro,Pincel maestro,Épinceau nuancé,Épinceau nuancé,Calamaravaggio master,パブロ・ヒュー,Inktkwast Nouveau,Кисть «НуВо»,Inkbrush Nouveau,Inkbrush Nouveau,movement_speed
roller,brush,pablo_permanent,sprinkler,armor,pablo,pablo_permanent,1102,Quasto Permanent,Permanent Inkbrush,Permanent Inkbrush,Pincel perpetuo,Pincel permanente,Épinceau permanent,Épinceau permanent,Calamaravaggio indelebile,パーマネント・パブロ,Inktkwast Permanent,Водостойкая кисть,Permanent Inkbrush,Permanent Inkbrush,movement_speed
brella,brella,parashelter,sprinkler,amefurashi,parashelter,parashelter,6000,Parapluviator,Splat Brella,Splat Brella,Paratintas,Paratintas,Para-encre,Para-encre,Sparasole,パラシェルター,Plenzer,Сплат-зонт,Splat Brella,Splat Brella,speed_up_canopy_regeneration
brella,brella,parashelter_sorella,robotbomb,splashbomb_pitcher,parashelter,parashelter_sorella,6001,Sorella-Parapluviator,Sorella Brella,Sorella Brella,Paratintas B,Paratintas Sorella,Para-encre Sorella,Para-encre Sorella,Sparasole Solerra,パラシェルターソレーラ,Sorella Plenzer,Зонтган «Родиччи»,Sorella Brella,Sorella Brella,speed_up_canopy_regeneration
shooter,shooter,prime,pointsensor,amefurashi,prime,prime,70,Profi-Kleckser,Splattershot Pro,Splattershot Pro,Lanzatintas plus,Rociador Pro,Liquéficateur pro,Liquidateur pro,Splasher élite,プライムシューター,Superspetter Pro,Каплестрел ПРО,Splattershot Pro,Splattershot Pro,damage
shooter,shooter,prime_becchu,splashbomb,nicedama,prime,prime_becchu,72,Kensa-Profi-Kleckser,Kensa Splattershot Pro,Kensa Splattershot Pro,Lanzatintas plus elegante,Rociador Pro Tonken,Liquéficateur pro Thony K,Liquidateur pro K,Splasher élite Nero Marlin,プライムシューターベッチュー,Toni Kensa Superspetter Pro,Каплестрел ПРО от С. К.,Kensa Splattershot Pro,Kensa Splattershot Pro,damage
shooter,shooter,prime_collabo,kyubanbomb,bubble,prime,prime_collabo,71,Focus-Profi-Kleckser,Forge Splattershot Pro,Forge Splattershot Pro,Lanzatintas plus B,Rociador Forima,Liquéficateur pro Fosia,Liquidateur pro griffé,Splasher élite logo,プライムシューターコラボ,Forge Superspetter Pro,Каплестрел ПРО «Блиц»,Forge Splattershot Pro,Forge Splattershot Pro,damage
shooter,shooter,promodeler_mg,kyubanbomb,curlingbomb_pitcher,promodeler_mg,promodeler_mg,30,Airbrush MG,Aerospray MG,Aerospray MG,Aerógrafo pro,Aerógrafo GP,Pouche-pouche,Aérogun,Aerografo,プロモデラーMG,Kladderwerper,Аэроспрей,Aerospray MG,Aerospray MG,ink_coverage
shooter,shooter,promodeler_pg,quickbomb,nicedama,promodeler_mg,promodeler_pg,32,Airbrush PG,Aerospray PG,Aerospray PG,Aerógrafo extra,Aerógrafo GE,Pouche-pouche sélect,Aérogun select,Aerografo deluxe,プロモデラーPG,Kladderwerper Ultima,Аэроспрей ИДЕАЛ,Aerospray PG,Aerospray PG,ink_coverage
shooter,shooter,promodeler_rg,sprinkler,sphere,promodeler_mg,promodeler_rg,31,Airbrush RG,Aerospray RG,Aerospray RG,Aerógrafo plus,Aerógrafo GN,Pouche-pouche premium,Aérogun premium,Aerografo élite,プロモデラーRG,Kladderwerper Pro,Аэроспрей ДЕЛЮКС,Aerospray RG,Aerospray RG,ink_coverage
shooter,maneuver,quadhopper_black,robotbomb,chakuchi,quadhopper_black,quadhopper_black,5040,Quadhopper Noir,Dark Tetra Dualies,Dark Tetra Dualies,Motatrónic dual negro,Tetra dual negro,Double voltigeur noir,Double voltigeur noir,Moscarpino duplo nero,クアッドホッパーブラック,Quadhoppers Zwart,Черные спуртокроссы,Dark Tetra Dualies,Dark Tetra Dualies,damage
shooter,maneuver,quadhopper_white,sprinkler,robotbomb_pitcher,quadhopper_black,quadhopper_white,5041,Quadhopper Blanc,Light Tetra Dualies,Light Tetra Dualies,Motatrónic dual blanco,Tetra dual blanco,Double voltigeur blanc,Double voltigeur blanc,Moscarpino duplo bianco,クアッドホッパーホワイト,Quadhoppers Wit,Белые спуртокроссы,Light Tetra Dualies,Light Tetra Dualies,damage
shooter,blaster,rapid,trap,splashbomb_pitcher,rapid,rapid,240,Turbo-Blaster,Rapid Blaster,Rapid Blaster,Devastador exprés,Turbolanzamotas,Turboblasteur,Turboblaster,Blaster rapido,ラピッドブラスター,Flitsblaster,Бластермат,Rapid Blaster,Rapid Blaster,shot_accuracy
shooter,blaster,rapid_becchu,torpedo,sphere,rapid,rapid_becchu,242,Kensa-Turbo-Blaster,Kensa Rapid Blaster,Kensa Rapid Blaster,Devastador exprés elegante,Turbolanzamotas Tonken,Turboblasteur Thony K,Turboblaster K,Blaster rapido Nero Marlin,ラピッドブラスターベッチュー,Toni Kensa Flitsblaster,Бластермат от С. Кусаки,Kensa Rapid Blaster,Kensa Rapid Blaster,shot_accuracy
shooter,blaster,rapid_deco,kyubanbomb,jetpack,rapid,rapid_deco,241,Turbo-Blaster Deko,Rapid Blaster Deco,Rapid Blaster Deco,Devastador exprés DX,Turbolanzamotas chic,Turboblasteur chic,Turboblaster chic,Blaster rapido DX,ラピッドブラスターデコ,Flitsblaster Deco,Бластермат «Деко»,Rapid Blaster Deco,Rapid Blaster Deco,shot_accuracy
shooter,blaster,rapid_elite,poisonmist,amefurashi,rapid_elite,rapid_elite,250,Turbo-Blaster Plus,Rapid Blaster Pro,Rapid Blaster Pro,Superdevastador,Turbolanzamotas Pro,Turboblasteur pro,Turboblaster pro,Blaster élite,Rブラスターエリート,Flitsblaster Pro,Бластермат ПРО,Rapid Blaster Pro,Rapid Blaster Pro,shot_accuracy
shooter,blaster,rapid_elite_deco,splashshield,armor,rapid_elite,rapid_elite_deco,251,Turbo-Blaster Plus Deko,Rapid Blaster Pro Deco,Rapid Blaster Pro Deco,Superdevastador DX,Turbolanzamotas Pro chic,Turboblasteur pro chic,Turboblaster pro chic,Blaster élite DX,Rブラスターエリートデコ,Flitsblaster Pro Deco,Бластермат ПРО «Деко»,Rapid Blaster Pro Deco,Rapid Blaster Pro Deco,shot_accuracy
slosher,slosher,screwslosher,robotbomb,presser,screwslosher,screwslosher,3020,Trommel-Schwapper,Sloshing Machine,Sloshing Machine,Derramatic centrífugo,Derramatic centrífugo,Encrifugeur,Encrifugeur,Secchiostro centrifuga,スクリュースロッシャー,Klotstrommel,Центрифугер,Sloshing Machine,Sloshing Machine,ink_coverage
slosher,slosher,screwslosher_becchu,tansanbomb,chakuchi,screwslosher,screwslosher_becchu,3022,Kensa-Trommel-Schwapper,Kensa Sloshing Machine,Kensa Sloshing Machine,Derramatic centrífugo elegante,Derramatic centrífugo Tonken,Encrifugeur Thony K,Encrifugeur K,Secchiostro centrifuga Nero Marlin,スクリュースロッシャーベッチュー,Toni Kensa Klotstrommel,Центрифугер от С. Кусаки,Kensa Sloshing Machine,Kensa Sloshing Machine,ink_coverage
slosher,slosher,screwslosher_neo,pointsensor,splashbomb_pitcher,screwslosher,screwslosher_neo,3021,Trommel-Schwapper Neo,Sloshing Machine Neo,Sloshing Machine Neo,Derramatic centrífugo neo,Derramatic centrífugo neo,Encrifugeur néo,Encrifugeur Néo,Secchiostro centrifuga Neo,スクリュースロッシャーネオ,Klotstrommel Neo,Центрифугер «Нео»,Sloshing Machine Neo,Sloshing Machine Neo,ink_coverage
shooter,shooter,sharp,poisonmist,jetpack,sharp,sharp,20,Fein-Disperser,Splash-o-matic,Splash-o-matic,Marcador fino,Plumón,Marqueur léger,Marqueur léger,Marker d'assalto,シャープマーカー,Spetterspuit,Плюхомет,Splash-o-matic,Splash-o-matic,damage
shooter,shooter,sharp_neo,quickbomb,kyubanbomb_pitcher,sharp,sharp_neo,21,Fein-Disperser Neo,Neo Splash-o-matic,Neo Splash-o-matic,Marcador fino neo,Plumón neo,Marqueur léger néo,Marqueur léger Néo,Marker d'assalto Neo,シャープマーカーネオ,Spetterspuit Neo,Плюхомет «Нео»,Neo Splash-o-matic,Neo Splash-o-matic,damage
charger,charger,soytuber,kyubanbomb,chakuchi,soytuber,soytuber,2060,T-Tuber,Goo Tuber,Goo Tuber,Tubofusil,Entintubo,Détubeur,Détubeur,Tintubator,ソイチューバー,Spetbuizer,Трубастер,Goo Tuber,Goo Tuber,damage
charger,charger,soytuber_custom,curlingbomb,jetpack,soytuber,soytuber_custom,2061,T-Tuber SE,Custom Goo Tuber,Custom Goo Tuber,Tubofusil SP,Entintubo adaptado,Détubeur modifié,Détubeur modifié,Tintubator CM,ソイチューバーカスタム,Gemodde Spetbuizer,Трубастер «Понт»,Custom Goo Tuber,Custom Goo Tuber,damage
charger,charger,splatcharger,splashbomb,presser,splatcharger,splatcharger,2010,Klecks-Konzentrator,Splat Charger,Splat Charger,Cargatintas,Cargatintas,Concentraceur,Concentraceur,Splatter a carica,スプラチャージャー,Bloplader,Сплатган,Splat Charger,Splat Charger,damage
charger,charger,splatcharger_becchu,sprinkler,sphere,splatcharger,splatcharger_becchu,2012,Kensa-Klecks-Konzentrator,Kensa Charger,Kensa Charger,Cargatintas elegante,Cargatintas Tonken,Concentraceur Thony K,Concentraceur K,Splatter a carica Nero Marlin,スプラチャージャーベッチュー,Toni Kensa Bloplader,Сплатган от С. Кусаки,Kensa Charger,Kensa Charger,damage
charger,charger,splatcharger_collabo,splashshield,kyubanbomb_pitcher,splatcharger,splatcharger_collabo,2011,Rilax-Klecks-Konzentrator,Firefin Splat Charger,Firefin Splat Charger,Cargatintas Chokkor,Cargatintas Shachi,Concentraceur Arki,Concentraceur griffé,Splatter a carica logo,スプラチャージャーコラボ,Firefin Bloplader,Сплатган «Фритюр»,Firefin Splat Charger,Firefin Splat Charger,damage
roller,roller,splatroller,curlingbomb,chakuchi,splatroller,splatroller,1010,Klecksroller,Splat Roller,Splat Roller,Rodillo básico,Rodillo básico,Rouleau,Rouleau,Rullo splat,スプラローラー,Klodderroller,Сплат-валик,Splat Roller,Splat Roller,damage
roller,roller,splatroller_becchu,splashbomb,bubble,splatroller,splatroller_becchu,1012,Kensa-Klecksroller,Kensa Splat Roller,Kensa Splat Roller,Rodillo básico elegante,Rodillo básico Tonken,Rouleau Thony K,Rouleau K,Rullo splat Nero Marlin,スプラローラーベッチュー,Toni Kensa Klodderroller,Валик от С. Кусаки,Kensa Splat Roller,Kensa Splat Roller,damage
roller,roller,splatroller_collabo,jumpbeacon,sphere,splatroller,splatroller_collabo,1011,Medusa-Klecksroller,Krak-On Splat Roller,Krak-On Splat Roller,Rodillo básico B,Rodillo básico Meddux,Rouleau Krakeurs,Rouleau griffé,Rullo splat logo,スプラローラーコラボ,Krak-On Klodderroller,Сплат-валик «Кра-Кен»,Krak-On Splat Roller,Krak-On Splat Roller,damage
charger,charger,splatscope,splashbomb,presser,splatcharger,splatscope,2020,Ziel-Konzentrator,Splatterscope,Splatterscope,Cargatintas con mira,Telecargatintas,Concentraceur zoom,Concentraceur zoom,Splatter con mirino,スプラスコープ,Schelpschutter,Снайпокрас,Splatterscope,Splatterscope,damage
charger,charger,splatscope_becchu,sprinkler,sphere,splatcharger,splatscope_becchu,2022,Kensa-Ziel-Konzentrator,Kensa Splatterscope,Kensa Splatterscope,Cargatintas con mira elegante,Telecargatintas Tonken,Concentraceur zoom Thony K,Concentraceur zoom K,Splatter con mirino Nero Marlin,スプラスコープベッチュー,Toni Kensa Schelpschutter,Снайпокрас от С. Кусаки,Kensa Splatterscope,Kensa Splatterscope,damage
charger,charger,splatscope_collabo,splashshield,kyubanbomb_pitcher,splatcharger,splatscope_collabo,2021,Rilax-Ziel-Konzentrator,Firefin Splatterscope,Firefin Splatterscope,Cargatintas con mira Chokkor,Telecargatintas Shachi,Concentraceur zoom Arki,Concentraceur zoom griffé,Splatter con mirino logo,スプラスコープコラボ,Firefin-Schelpschutter,Снайпокрас «Фритюр»,Firefin Splatterscope,Firefin Splatterscope,damage
splatling,splatling,splatspinner,quickbomb,missile,splatspinner,splatspinner,4000,Klecks-Splatling,Mini Splatling,Mini Splatling,Tintralladora ligera,Garabateador,Badigeonneur XP,Badigeonneur XS,Mini splatling,スプラスピナー,Mini-Spetling,Брызгомет-М,Mini Splatling,Mini Splatling,duration_of_firing
splatling,splatling,splatspinner_becchu,poisonmist,ultrahanko,splatspinner,splatspinner_becchu,4002,Kensa-Klecks-Splatling,Kensa Mini Splatling,Kensa Mini Splatling,Tintralladora ligera elegante,Garabateador Tonken,Badigeonneur XP Thony K,Badigeonneur XS K,Mini splatling Nero Marlin,スプラスピナーベッチュー,Toni Kensa Mini-Spetling,Брызгомет-М от С. Кусаки,Kensa Mini Splatling,Kensa Mini Splatling,duration_of_firing
splatling,splatling,splatspinner_collabo,curlingbomb,amefurashi,splatspinner,splatspinner_collabo,4001,Sagitron-Klecks-Splatling,Zink Mini Splatling,Zink Mini Splatling,Tintralladora ligera B,Garabateador Tintaz,Badigeonneur XP Leviathus,Badigeonneur XS griffé,Mini splatling logo,スプラスピナーコラボ,Zink Mini-Spetling,Брызгомет-М «Шпротус»,Zink Mini Splatling,Zink Mini Splatling,duration_of_firing
shooter,maneuver,sputtery,jumpbeacon,kyubanbomb_pitcher,sputtery,sputtery,5000,Sprenkler,Dapple Dualies,Dapple Dualies,Atomizador dual,Atomizador dual,Double moucheteur,Double moucheteur,Ripolpella duplo,スパッタリー,Dubbelspatters,Импрессиометы,Dapple Dualies,Dapple Dualies,damage
shooter,maneuver,sputtery_clear,torpedo,chakuchi,sputtery,sputtery_clear,5002,Sprenkler Claro,Clear Dapple Dualies,Clear Dapple Dualies,Atomizador dual sencillo,Atomizador dual sencillo,Double moucheteur dépoli,Double moucheteur dépoli,Ripolpella duplo minimal,スパッタリークリア,Dubbelspatters Helder,Импрессиометы «Белизна»,Clear Dapple Dualies,Clear Dapple Dualies,damage
shooter,maneuver,sputtery_hue,poisonmist,amefurashi,sputtery,sputtery_hue,5001,Sprenkler Fresco,Dapple Dualies Nouveau,Dapple Dualies Nouveau,Atomizador dual maestro,Atomizador dual maestro,Double moucheteur nuancé,Double moucheteur nuancé,Ripolpella duplo master,スパッタリー・ヒュー,Dubbelspatters Nouveau,Импрессиометы «НуВо»,Dapple Dualies Nouveau,Dapple Dualies Nouveau,damage
brella,brella,spygadget,trap,chakuchi,spygadget,spygadget,6020,UnderCover,Undercover Brella,Undercover Brella,Paratintas clásico,Paratintas discreto,Para-encre espion,Para-encre espion,Bombrello,スパイガジェット,Paraplenzer,Шпионский зонт,Undercover Brella,Undercover Brella,speed_up_canopy_regeneration
brella,brella,spygadget_becchu,torpedo,armor,spygadget,spygadget_becchu,6022,Kensa-UnderCover,Kensa Undercover Brella,Kensa Undercover Brella,Paratintas clásico elegante,Paratintas discreto Tonken,Para-encre espion Thony K,Para-encre espion K,Bombrello Nero Marlin,スパイガジェットベッチュー,Toni Kensa Paraplenzer,Шпионский зонт от С. К.,Kensa Undercover Brella,Kensa Undercover Brella,speed_up_canopy_regeneration
brella,brella,spygadget_sorella,splashbomb,sphere,spygadget,spygadget_sorella,6021,Sorella-UnderCover,Undercover Sorella Brella,Undercover Sorella Brella,Paratintas clásico B,Paratintas discreto Sorella,Para-encre espion Sorella,Para-encre espion Sorella,Bombrello Solerra,スパイガジェットソレーラ,Sorella Paraplenzer,Шпионский зонт «Родиччи»,Undercover Sorella Brella,Undercover Sorella Brella,speed_up_canopy_regeneration
charger,charger,squiclean_a,pointsensor,armor,squiclean_a,squiclean_a,2000,Sepiator α,Classic Squiffer,Classic Squiffer,Kalarrapid α,Delineador X,Lignizateur alpha,Décap'express Alpha,Kalamarapid α,スクイックリンα,Octopoets,Стиратель,Classic Squiffer,Classic Squiffer,range
charger,charger,squiclean_b,robotbomb,sphere,squiclean_a,squiclean_b,2001,Sepiator β,New Squiffer,New Squiffer,Kalarrapid β,Delineador Y,Lignizateur bêta,Décap'express Bêta,Kalamarapid β,スクイックリンβ,Octopoets Ultra,Стиратель-II,New Squiffer,New Squiffer,range
charger,charger,squiclean_g,kyubanbomb,jetpack,squiclean_a,squiclean_g,2002,Sepiator γ,Fresh Squiffer,Fresh Squiffer,Kalarrapid γ,Delineador Z,Lignizateur gamma,Décap'express Gamma,Kalamarapid γ,スクイックリンγ,Octopoets Gamma,Стиратель «Свежесть»,Fresh Squiffer,Fresh Squiffer,range
shooter,shooter,sshooter,quickbomb,chakuchi,sshooter,sshooter,40,Kleckser,Splattershot,Splattershot,Lanzatintas,Rociador,Liquéficateur,Liquidateur,Splasher,スプラシューター,Superspetter,Каплестрел,Splattershot,Splattershot,shot_accuracy
shooter,shooter,sshooter_becchu,kyubanbomb,missile,sshooter,sshooter_becchu,42,Kensa-Kleckser,Kensa Splattershot,Kensa Splattershot,Lanzatintas elegante,Rociador Tonken,Liquéficateur Thony K,Liquidateur K,Splasher Nero Marlin,スプラシューターベッチュー,Toni Kensa Superspetter,Каплестрел от С. Кусаки,Kensa Splattershot,Kensa Splattershot,shot_accuracy
shooter,shooter,sshooter_collabo,splashbomb,jetpack,sshooter,sshooter_collabo,41,Tentatek-Kleckser,Tentatek Splattershot,Tentatek Splattershot,Lanzatintas B,Rociador Tentáctica,Liquéficateur Tentatek,Liquidateur griffé,Splasher logo,スプラシューターコラボ,Tentatek Superspetter,Каплестрел «Щуччи»,Tentatek Splattershot,Tentatek Splattershot,shot_accuracy
roller,roller,variableroller,splashshield,splashbomb_pitcher,variableroller,variableroller,1030,Flex-Roller,Flingza Roller,Flingza Roller,Rodillo versátil,Rodillo versátil,Flexi-rouleau,Flexi-rouleau,Flexi-rullo,ヴァリアブルローラー,Flexroller,Омнивалик,Flingza Roller,Flingza Roller,damage
roller,roller,variableroller_foil,kyubanbomb,missile,variableroller,variableroller_foil,1031,Flex-Roller Fol,Foil Flingza Roller,Foil Flingza Roller,Rodillo versátil B,Rodillo versátil Foil,  Flexi-rouleau aluminium,Flexi-rouleau alu,Flexi-rullo B,ヴァリアブルローラーフォイル,Foil Flexroller,Омнивалик «Блеск»,Foil Flingza Roller,Foil Flingza Roller,damage
shooter,shooter,wakaba,splashbomb,armor,wakaba,wakaba,10,Junior-Kleckser,Splattershot Jr.,Splattershot Jr.,Lanzatintas novato,Rociador básico,Liquéficateur ultra,Liquidateur Jr.,Sparacolore recluta,わかばシューター,Superspetter jr.,Каплестрел-У,Splattershot Jr.,Splattershot Jr.,ink_coverage
